dataset,user,n_baskets,avg_basket_size,repeat_rate,adjacent_basket_jaccard,recent_basket_novelty
dunnhumby,14623,11,4.636363636363637,0.196078431372549,0.0,0.5
dunnhumby,837,18,6.555555555555555,0.38983050847457623,0.021303258145363407,0.5
dunnhumby,6143,2,3.0,0.0,0.0,1.0
dunnhumby,1357,9,13.444444444444445,0.3471074380165289,0.07535243641364922,0.0
dunnhumby,19663,7,10.285714285714286,0.125,0.03,0.8571428571428571
dunnhumby,19198,5,6.6,0.09090909090909094,0.0,0.8888888888888888
dunnhumby,5195,7,13.142857142857142,0.2282608695652174,0.02314814814814815,0.5625
dunnhumby,11811,8,10.375,0.5301204819277108,0.22874446981589838,0.2
dunnhumby,14049,8,13.375,0.23364485981308414,0.05904761904761906,0.5
dunnhumby,21877,10,6.5,0.3538461538461538,0.05683056050703109,0.23076923076923078
dunnhumby,2719,2,7.5,0.19999999999999996,0.25,0.7272727272727273
dunnhumby,4317,12,8.0,0.21875,0.023613759977396342,0.5
dunnhumby,15926,4,3.0,0.08333333333333337,0.05555555555555555,1.0
dunnhumby,15637,4,2.5,0.0,0.0,1.0
dunnhumby,11336,7,2.0,0.2142857142857143,0.0,1.0
dunnhumby,9562,20,7.3,0.34246575342465757,0.08432068313075179,0.5
dunnhumby,13720,6,12.5,0.28,0.00625,0.38095238095238093
dunnhumby,389,11,16.0,0.43181818181818177,0.08368707281675301,1.0
dunnhumby,1179,15,7.266666666666667,0.33944954128440363,0.0047619047619047615,0.5714285714285714
dunnhumby,2016,9,2.4444444444444446,0.5,0.26388888888888884,0.0
dunnhumby,6765,10,10.3,0.3689320388349514,0.06349779677953053,0.5714285714285714
dunnhumby,19299,3,4.666666666666667,0.2142857142857143,0.29545454545454547,0.0
dunnhumby,6429,13,8.153846153846153,0.37735849056603776,0.11097781217750258,0.6666666666666666
dunnhumby,536,38,4.657894736842105,0.5028248587570621,0.06117778009669902,0.36363636363636365
dunnhumby,21923,3,7.666666666666667,0.04347826086956519,0.0,0.9375
dunnhumby,5090,4,3.75,0.1333333333333333,0.16666666666666666,0.8333333333333334
dunnhumby,1810,11,4.454545454545454,0.22448979591836737,0.042028985507246375,0.0
dunnhumby,17175,6,23.166666666666668,0.4244604316546763,0.1911064425770308,0.2727272727272727
dunnhumby,16637,3,1.3333333333333333,0.0,0.0,1.0
dunnhumby,13229,2,15.0,0.1333333333333333,0.15384615384615385,0.7333333333333333
dunnhumby,17171,3,17.666666666666668,0.13207547169811318,0.08755760368663594,0.8461538461538461
dunnhumby,12772,8,13.875,0.4414414414414415,0.1826429289664584,1.0
dunnhumby,7570,3,7.0,0.0,0.0,1.0
dunnhumby,5130,5,2.2,0.09090909090909094,0.0,1.0
dunnhumby,19744,2,13.0,0.038461538461538436,0.04,0.8888888888888888
dunnhumby,6475,11,5.545454545454546,0.29508196721311475,0.08857142857142856,0.5
dunnhumby,13812,8,14.25,0.2894736842105263,0.0708732646663681,0.65
dunnhumby,10147,8,7.875,0.2698412698412699,0.06546857873584216,0.0
dunnhumby,21704,2,4.0,0.0,0.0,1.0
