dataset,user,popularity_profile,neighbor_similarity,sequential_specificity,relational_strength
dunnhumby,14623,0.7830136080602346,0.15838112537426333,0.07594986284944263,0.05490643040004233
dunnhumby,837,0.7999635341584704,0.17139770628785822,0.19629198725963234,0.0445245431077233
dunnhumby,6143,0.7425138399597383,0.1885511096131757,0.029657764072159032,0.02493775114959537
dunnhumby,1357,0.7971369688096593,0.15596775556768533,0.029657764072159032,0.05303688691329402
dunnhumby,19663,0.7881752222781411,0.1595341492894141,0.08929080825408497,0.049454709852771166
dunnhumby,19198,0.8268556221500359,0.15977842590841307,0.05646733788062233,0.04745832940998198
dunnhumby,5195,0.831387715804906,0.17718028053073334,0.03216272144831449,0.08603685929085904
dunnhumby,11811,0.8402371438446286,0.18580028427257445,0.08673334986312767,0.08302209578504866
dunnhumby,14049,0.7625006467270905,0.1470489044801389,0.06169350824757994,0.15517719770182
dunnhumby,21877,0.7331752545391198,0.15881137845599444,0.07278851257399235,0.048586271078039964
dunnhumby,2719,0.7812195940278478,0.20314907898939719,0.054573966925025655,0.05686737862139894
dunnhumby,4317,0.8043336373930546,0.15429729097480183,0.03870761495544433,0.05135242574944255
dunnhumby,15926,0.838512833417212,0.26261877276543755,0.14495029315965638,0.03954540001021886
dunnhumby,15637,0.8054101660795168,0.2032148961673304,0.1602460672972011,0.06387103683237988
dunnhumby,11336,0.902545114673952,0.26361701884552524,0.10478727883845165,0.031584466065138796
dunnhumby,9562,0.7704410862386335,0.16371464769243133,0.3205746098254201,0.04450593906614135
dunnhumby,13720,0.7975037745344742,0.16951154704912547,0.034101010403010903,0.030460879386258227
dunnhumby,389,0.7856479045614677,0.17653735610477633,0.36694925899682046,0.058827288065308354
dunnhumby,1179,0.7433547416002181,0.15471886906313767,0.041989866785094865,0.05815490662669672
dunnhumby,2016,0.8230944319897514,0.26344422287724834,0.2906495151962801,0.02741956316899215
dunnhumby,6765,0.7694480140329619,0.14142142361453347,0.0889843291169673,0.0665705044539723
dunnhumby,19299,0.7969659932417859,0.23467915050808247,0.1289827301876638,0.030061484614401723
dunnhumby,6429,0.7575656863955333,0.14571447477328683,0.1101386304813681,0.05430194249169228
dunnhumby,536,0.864329298633206,0.18261609045046387,0.035834742480046575,0.051058737810878566
dunnhumby,21923,0.6906577536596572,0.16558083819613412,0.05842908601654668,0.03528154953981718
dunnhumby,5090,0.690295252474417,0.16162060325733943,0.07915003840313292,0.04444317093341634
dunnhumby,1810,0.8230642030340071,0.16370823483839797,0.10901995066958758,0.025646371763605968
dunnhumby,17175,0.8366513633582313,0.1811034515253656,0.024416846014648583,0.06608247461040338
dunnhumby,16637,0.4255787619526925,0.24083512327510145,0.2370648121119056,0.011537525990988439
dunnhumby,13229,0.7500083878543867,0.15275980383203364,0.03662130076138109,0.05212874170399821
dunnhumby,17171,0.8170181652438967,0.15709621906451413,0.029022321914950883,0.05762048818784261
dunnhumby,12772,0.861651409839633,0.15751508888247862,0.3979182619297591,0.05205491882094286
dunnhumby,7570,0.7975950823207996,0.22538300075728634,0.39743441773445165,0.0740472629526411
dunnhumby,5130,0.9557693187537173,0.29136875639700094,0.3226741286497836,0.023066556223231467
dunnhumby,19744,0.8151542719987612,0.14850372455755959,0.06156365253461092,0.038925213370894204
dunnhumby,6475,0.6611004314932309,0.18177640061647865,0.08411953369519895,0.07490515949777264
dunnhumby,13812,0.7745234374310213,0.1423634037458756,0.045890825349274224,0.048677111239097834
dunnhumby,10147,0.7501138351666787,0.1509405541699488,0.17458233385085886,0.08324178997592661
dunnhumby,21704,0.5389406139909412,0.18608390576842418,0.31117008942188257,0.021974062621827457
dunnhumby,7522,0.7046123075855129,0.16423906564898677,0.44904057266013364,0.031070988079993977
dunnhumby,22153,0.4935832913940614,0.21088764740262178,0.555143025387538,0.022208780991907984
dunnhumby,16699,0.9089079013588325,0.5429443869759022,0.4204890996869628,0.0
dunnhumby,1757,0.7686776547559134,0.18282787347852705,0.27292974481399723,0.012338120532435833
dunnhumby,354,0.6981537400510727,0.13811316737767954,0.3728777996175683,0.05481552364827305
dunnhumby,16113,0.8294109077424312,0.17571690265762735,0.12898090524674805,0.018766537354127446
dunnhumby,13931,0.7148204784088027,0.13918476489003573,0.09463661103615743,0.026898096247401724
dunnhumby,8718,0.8307263340747112,0.19157763507517273,0.10454865525560826,0.031597937656742806
dunnhumby,4286,0.7312426606274114,0.1287171042510406,0.06707698541881557,0.04224013731787815
dunnhumby,19163,0.7470522683154792,0.17232870981577603,0.08102343718869719,0.07007399436887206
dunnhumby,2260,0.7509096288034387,0.14393443628782396,0.1345966421603068,0.05918154997049853
dunnhumby,9848,0.7596166750545209,0.15934808583073984,0.07001806090566576,0.06864343627530457
dunnhumby,13253,0.8106127327629592,0.17329580623631438,0.03295887366829851,0.08367029873459389
dunnhumby,20916,0.8550205968424388,0.18403368468625386,0.018365893906340372,0.06730299379439084
dunnhumby,425,0.7440697869484987,0.186598154127503,0.0630251767684069,0.036112375768766886
dunnhumby,904,0.7860212212715982,0.14516781804351436,0.03143590733083434,0.047573904420953654
dunnhumby,15211,0.8423078865673475,0.16853842112319242,0.01909238202245367,0.07263415813298611
dunnhumby,21455,0.7664541743555332,0.2057381271076216,0.2953644526029636,0.01811612525249237
dunnhumby,16096,0.7697502516356317,0.17558283263220253,0.08240704152220624,0.06695404056123329
dunnhumby,15271,0.9006668344237545,0.23162126084287937,0.03124845902869831,0.03799926470746146
dunnhumby,8997,0.8184782720335244,0.20940036927954297,0.1436310654475288,0.03266105308655644
dunnhumby,3973,0.8491152859440018,0.20952496305530932,0.07582389095625544,0.05846910869279215
dunnhumby,21601,0.8007711892003907,0.17220296081474734,0.0946908216723123,0.035993127089080125
dunnhumby,14434,0.7867210813952664,0.1911448512923965,0.04793194348167738,0.05186842436132001
dunnhumby,8189,0.8194868205837947,0.14786144994255768,0.03090786268735691,0.06522188889225834
dunnhumby,10137,0.8402593045270451,0.1915740138831578,0.029657764072159032,0.05127234851415628
dunnhumby,17640,0.8013433471410321,0.2218170994915834,0.07674576918991008,0.04383651545509785
dunnhumby,19370,0.8346467950770919,0.2033307803414901,0.11059422101172053,0.044441466797861
dunnhumby,9005,0.8332152411728868,0.18262326328753709,0.4589590944929649,0.05094934950458642
dunnhumby,5003,0.8002358069386496,0.1426547066453431,0.46158070739352475,0.05515363847757519
dunnhumby,1943,0.7436192393414337,0.23114411535756027,0.14919476270861176,0.029539095249571642
dunnhumby,17193,0.721954724942898,0.14517376453516567,0.04931020499546497,0.07932806432428025
dunnhumby,1491,0.7873523795078972,0.15402907135989027,0.29351249964425796,0.03295288619190398
dunnhumby,17122,0.8155661801711124,0.1551595889315928,0.02370207133240481,0.05079108019525228
dunnhumby,10896,0.812823351786613,0.17363365421186833,0.2357311257396075,0.025497743745335925
dunnhumby,17311,0.6591228401274953,0.16779888180564723,0.06414722375378853,0.062458218750179956
dunnhumby,17919,0.8964798971089861,0.20464881283213465,0.0516054536530181,0.05834339536868964
dunnhumby,15753,0.741736829935119,0.13035327602778662,0.09253992474230116,0.05229191906268011
dunnhumby,18236,0.7836283062126042,0.1854952254726263,0.08653811288882922,0.08470014314187994
dunnhumby,4305,0.8843734272773026,0.20490564888438884,0.05053542787056711,0.10056959486024095
dunnhumby,16561,0.8627925779864201,0.167768265006069,0.027886624011154035,0.05301960724881512
dunnhumby,18630,0.6566589079013587,0.160444372799845,0.4200709103213841,0.04536097123778001
dunnhumby,1863,0.8007368407469061,0.16883236563620746,0.1264167555693082,0.048941043462526757
dunnhumby,4328,0.8014594866633117,0.16235196092253437,0.0825392779228987,0.06518881812766528
